#Release 14.2 - par P.28xd (nt64)
#Copyright (c) 1995-2012 Xilinx, Inc.  All rights reserved.

#Sun May 15 16:52:36 2016

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       system_map.ncd
#OUTPUT FILE:      system_pad.csv
#PART TYPE:        xc3s700a
#SPEED GRADE:      -4
#PACKAGE:          fg484
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
E10,,DIFFSTB,IO_L23N_0,UNUSED,,0,,,,,,,,,
E11,,DIFFSTB,IO_L20N_0/GCLK11,UNUSED,,0,,,,,,,,,
E12,,DIFFSTB,IO_L17N_0/GCLK5,UNUSED,,0,,,,,,,,,
E13,,DIFFSTB,IO_L14N_0,UNUSED,,0,,,,,,,,,
E14,,DIFFSTB,IO_L09N_0,UNUSED,,0,,,,,,,,,
E15,,DIFFMTB,IO_L04P_0,UNUSED,,0,,,,,,,,,
E16,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
E17,,DIFFMTB,IO_L01P_0,UNUSED,,0,,,,,,,,,
E18,,,VCCAUX,,,,,,,,2.5,,,,
E19,,,TDO,,,,,,,,,,,,
E20,,DIFFMLR,IO_L38P_1,UNUSED,,1,,,,,,,,,
E21,,,VCCO_1,,,1,,,,,2.50,,,,
E22,,DIFFMLR,IO_L41P_1,UNUSED,,1,,,,,,,,,
F1,,DIFFSLR,IO_L12N_3,UNUSED,,3,,,,,,,,,
F2,,DIFFMLR,IO_L12P_3,UNUSED,,3,,,,,,,,,
F3,,DIFFMLR,IO_L08P_3,UNUSED,,3,,,,,,,,,
F4,,DIFFMLR,IO_L07P_3,UNUSED,,3,,,,,,,,,
F5,,,TDI,,,,,,,,,,,,
F6,,,GND,,,,,,,,,,,,
F7,,DIFFMTB,IO_L35P_0,UNUSED,,0,,,,,,,,,
F8,,DIFFSTB,IO_L34N_0,UNUSED,,0,,,,,,,,,
F9,,,VCCO_0,,,0,,,,,any******,,,,
F10,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
F11,,,GND,,,,,,,,,,,,
F12,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
F13,,DIFFMTB,IO_L14P_0,UNUSED,,0,,,,,,,,,
F14,,,VCCO_0,,,0,,,,,any******,,,,
F15,,DIFFSTB,IO_L04N_0,UNUSED,,0,,,,,,,,,
F16,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
F17,,,GND,,,,,,,,,,,,
F18,,DIFFSLR,IO_L40N_1,UNUSED,,1,,,,,,,,,
F19,,DIFFMLR,IO_L40P_1,UNUSED,,1,,,,,,,,,
F20,,DIFFSLR,IO_L38N_1,UNUSED,,1,,,,,,,,,
F21,,DIFFSLR,IO_L34N_1/A19,UNUSED,,1,,,,,,,,,
F22,,DIFFMLR,IO_L34P_1/A18,UNUSED,,1,,,,,,,,,
G1,,DIFFSLR,IO_L13N_3,UNUSED,,3,,,,,,,,,
G2,,,GND,,,,,,,,,,,,
G3,,DIFFMLR,IO_L13P_3,UNUSED,,3,,,,,,,,,
G4,,DIFFSLR,IO_L08N_3,UNUSED,,3,,,,,,,,,
G5,,DIFFSLR,IO_L05N_3,UNUSED,,3,,,,,,,,,
G6,,DIFFMLR,IO_L05P_3,UNUSED,,3,,,,,,,,,
G7,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
G8,,IBUF,IP_0/VREF_0,UNUSED,,0,,,,,,,,,
G9,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
G10,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
G11,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
G12,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
G13,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
G14,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
G15,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
G16,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
G17,,DIFFSLR,IO_L46N_1/A25,UNUSED,,1,,,,,,,,,
G18,,DIFFMLR,IO_L46P_1/A24,UNUSED,,1,,,,,,,,,
G19,,DIFFMLR,IO_L36P_1,UNUSED,,1,,,,,,,,,
G20,,DIFFSLR,IO_L36N_1,UNUSED,,1,,,,,,,,,
G21,,,GND,,,,,,,,,,,,
G22,,DIFFSLR,IO_L30N_1/A15,UNUSED,,1,,,,,,,,,
H1,,DIFFSLR,IO_L16N_3,UNUSED,,3,,,,,,,,,
H2,,DIFFMLR,IO_L16P_3,UNUSED,,3,,,,,,,,,
H3,,DIFFSLR,IO_L14N_3,UNUSED,,3,,,,,,,,,
H4,,DIFFMLR,IO_L14P_3,UNUSED,,3,,,,,,,,,
H5,,DIFFMLR,IO_L09P_3,UNUSED,,3,,,,,,,,,
H6,,DIFFSLR,IO_L09N_3,UNUSED,,3,,,,,,,,,
H7,,DIFFSI_NDT,IP_L04N_3/VREF_3,UNUSED,,3,,,,,,,,,
H8,,DIFFMI_NDT,IP_L04P_3,UNUSED,,3,,,,,,,,,
H9,,IBUF,IP_0/VREF_0,UNUSED,,0,,,,,,,,,
H10,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
H11,,,VCCAUX,,,,,,,,2.5,,,,
H12,,IBUF,IP_0/VREF_0,UNUSED,,0,,,,,,,,,
H13,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
H14,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
H15,,DIFFSI_NDT,IP_L47N_1,UNUSED,,1,,,,,,,,,
H16,,DIFFMI_NDT,IP_L47P_1/VREF_1,UNUSED,,1,,,,,,,,,
H17,,DIFFMI_NDT,IP_L39P_1,UNUSED,,1,,,,,,,,,
H18,,DIFFSI_NDT,IP_L39N_1,UNUSED,,1,,,,,,,,,
H19,,DIFFSLR,IO_L37N_1,UNUSED,,1,,,,,,,,,
H20,,DIFFSLR,IO_L33N_1/A17,UNUSED,,1,,,,,,,,,
H21,,DIFFMLR,IO_L33P_1/A16,UNUSED,,1,,,,,,,,,
H22,correct,IOB,IO_L30P_1/A14,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
J1,,DIFFSLR,IO_L17N_3/VREF_3,UNUSED,,3,,,,,,,,,
J2,,,VCCO_3,,,3,,,,,any******,,,,
J3,,DIFFMLR,IO_L17P_3,UNUSED,,3,,,,,,,,,
J4,,,GND,,,,,,,,,,,,
J5,,DIFFSLR,IO_L10N_3,UNUSED,,3,,,,,,,,,
J6,,,VCCO_3,,,3,,,,,any******,,,,
J7,,DIFFMI_NDT,IP_L11P_3,UNUSED,,3,,,,,,,,,
J8,,DIFFSI_NDT,IP_3/VREF_3,UNUSED,,3,,,,,,,,,
J9,,,GND,,,,,,,,,,,,
J10,,,VCCINT,,,,,,,,1.2,,,,
J11,,,GND,,,,,,,,,,,,
J12,,,VCCINT,,,,,,,,1.2,,,,
J13,,,GND,,,,,,,,,,,,
J14,,,GND,,,,,,,,,,,,
J15,,DIFFSI_NDT,IP_L43N_1/VREF_1,UNUSED,,1,,,,,,,,,
J16,,DIFFMI_NDT,IP_L43P_1,UNUSED,,1,,,,,,,,,
J17,,,VCCO_1,,,1,,,,,2.50,,,,
J18,,DIFFMLR,IO_L37P_1,UNUSED,,1,,,,,,,,,
J19,,,GND,,,,,,,,,,,,
J20,,DIFFSLR,IO_L29N_1/A13,UNUSED,,1,,,,,,,,,
J21,,DIFFMLR,IO_L29P_1/A12,UNUSED,,1,,,,,,,,,
J22,,DIFFSLR,IO_L26N_1/A11,UNUSED,,1,,,,,,,,,
K1,,DIFFMLR,IO_L22P_3/LHCLK2,UNUSED,,3,,,,,,,,,
K2,,DIFFSLR,IO_L20N_3,UNUSED,,3,,,,,,,,,
K3,,DIFFMLR,IO_L20P_3,UNUSED,,3,,,,,,,,,
K4,,DIFFSLR,IO_L18N_3,UNUSED,,3,,,,,,,,,
K5,,DIFFMLR,IO_L18P_3,UNUSED,,3,,,,,,,,,
K6,,DIFFMLR,IO_L10P_3,UNUSED,,3,,,,,,,,,
K7,,DIFFMI_NDT,IP_L15P_3,UNUSED,,3,,,,,,,,,
K8,,DIFFSI_NDT,IP_L11N_3,UNUSED,,3,,,,,,,,,
K9,,,VCCINT,,,,,,,,1.2,,,,
K10,,,GND,,,,,,,,,,,,
K11,,,VCCINT,,,,,,,,1.2,,,,
K12,,,GND,,,,,,,,,,,,
K13,,,VCCINT,,,,,,,,1.2,,,,
K14,,DIFFMI_NDT,IP_L35P_1/VREF_1,UNUSED,,1,,,,,,,,,
K15,,DIFFSI_NDT,IP_L35N_1,UNUSED,,1,,,,,,,,,
K16,,DIFFSI_NDT,IP_L31N_1,UNUSED,,1,,,,,,,,,
K17,,DIFFMLR,IO_L32P_1,UNUSED,,1,,,,,,,,,
K18,,DIFFSLR,IO_L32N_1,UNUSED,,1,,,,,,,,,
K19,,DIFFSLR,IO_L25N_1/RHCLK7,UNUSED,,1,,,,,,,,,
K20,,DIFFMLR,IO_L25P_1/IRDY1/RHCLK6,UNUSED,,1,,,,,,,,,
K21,,,VCCO_1,,,1,,,,,2.50,,,,
K22,,DIFFMLR,IO_L26P_1/A10,UNUSED,,1,,,,,,,,,
L1,,DIFFSLR,IO_L22N_3/IRDY2/LHCLK3,UNUSED,,3,,,,,,,,,
L2,,,GND,,,,,,,,,,,,
L3,,DIFFSLR,IO_L21N_3/LHCLK1,UNUSED,,3,,,,,,,,,
L4,,,VCCAUX,,,,,,,,2.5,,,,
L5,,DIFFMLR,IO_L21P_3/LHCLK0,UNUSED,,3,,,,,,,,,
L6,,,GND,,,,,,,,,,,,
L7,,DIFFMI_NDT,IP_L19P_3,UNUSED,,3,,,,,,,,,
L8,,DIFFSI_NDT,IP_L15N_3/VREF_3,UNUSED,,3,,,,,,,,,
L9,,,GND,,,,,,,,,,,,
L10,,,VCCINT,,,,,,,,1.2,,,,
L11,,,GND,,,,,,,,,,,,
L12,,,VCCINT,,,,,,,,1.2,,,,
L13,,,GND,,,,,,,,,,,,
L14,,,VCCINT,,,,,,,,1.2,,,,
L15,,DIFFMI_NDT,IP_L31P_1,UNUSED,,1,,,,,,,,,
L16,,DIFFSI_NDT,IP_L27N_1,UNUSED,,1,,,,,,,,,
L17,,,GND,,,,,,,,,,,,
L18,,DIFFMLR,IO_L28P_1,UNUSED,,1,,,,,,,,,
L19,,DIFFSLR,IO_L28N_1,UNUSED,,1,,,,,,,,,
L20,,DIFFSLR,IO_L22N_1/TRDY1/RHCLK3,UNUSED,,1,,,,,,,,,
L21,,DIFFMLR,IO_L22P_1/RHCLK2,UNUSED,,1,,,,,,,,,
L22,,DIFFSLR,IO_L21N_1/RHCLK1,UNUSED,,1,,,,,,,,,
M1,,DIFFMLR,IO_L24P_3/LHCLK4,UNUSED,,3,,,,,,,,,
M2,,DIFFSLR,IO_L24N_3/LHCLK5,UNUSED,,3,,,,,,,,,
M3,,DIFFMLR,IO_L25P_3/TRDY2/LHCLK6,UNUSED,,3,,,,,,,,,
M4,,DIFFSLR,IO_L25N_3/LHCLK7,UNUSED,,3,,,,,,,,,
M5,,DIFFMLR,IO_L30P_3,UNUSED,,3,,,,,,,,,
M6,,DIFFSI_NDT,IP_L23N_3,UNUSED,,3,,,,,,,,,
M7,,DIFFMI_NDT,IP_L23P_3,UNUSED,,3,,,,,,,,,
M8,,DIFFSI_NDT,IP_L19N_3,UNUSED,,3,,,,,,,,,
M9,,,VCCINT,,,,,,,,1.2,,,,
M10,,,GND,,,,,,,,,,,,
M11,,,VCCINT,,,,,,,,1.2,,,,
M12,,,GND,,,,,,,,,,,,
M13,,,VCCINT,,,,,,,,1.2,,,,
M14,,,GND,,,,,,,,,,,,
M15,,DIFFMI_NDT,IP_L27P_1/VREF_1,UNUSED,,1,,,,,,,,,
M16,,DIFFSI_NDT,IP_L23N_1,UNUSED,,1,,,,,,,,,
M17,,DIFFMI_NDT,IP_L23P_1,UNUSED,,1,,,,,,,,,
M18,,DIFFMLR,IO_L24P_1/RHCLK4,UNUSED,,1,,,,,,,,,
M19,,,VCCAUX,,,,,,,,2.5,,,,
M20,,DIFFSLR,IO_L24N_1/RHCLK5,UNUSED,,1,,,,,,,,,
M21,,,GND,,,,,,,,,,,,
M22,,DIFFMLR,IO_L21P_1/RHCLK0,UNUSED,,1,,,,,,,,,
N1,,DIFFMLR,IO_L26P_3/VREF_3,UNUSED,,3,,,,,,,,,
N2,,,VCCO_3,,,3,,,,,any******,,,,
N3,,DIFFSLR,IO_L26N_3,UNUSED,,3,,,,,,,,,
N4,,DIFFSLR,IO_L30N_3,UNUSED,,3,,,,,,,,,
N5,,DIFFSI_NDT,IP_L31N_3,UNUSED,,3,,,,,,,,,
N6,,DIFFMI_NDT,IP_L31P_3,UNUSED,,3,,,,,,,,,
N7,,DIFFMI_NDT,IP_L35P_3,UNUSED,,3,,,,,,,,,
N8,,DIFFMI_NDT,IP_L27P_3,UNUSED,,3,,,,,,,,,
N9,,DIFFSI_NDT,IP_L27N_3,UNUSED,,3,,,,,,,,,
N10,,,VCCINT,,,,,,,,1.2,,,,
N11,,,GND,,,,,,,,,,,,
N12,,,VCCINT,,,,,,,,1.2,,,,
N13,,,GND,,,,,,,,,,,,
N14,,,VCCINT,,,,,,,,1.2,,,,
N15,,DIFFMI_NDT,IP_L16P_1,UNUSED,,1,,,,,,,,,
N16,,DIFFSI_NDT,IP_L16N_1/VREF_1,UNUSED,,1,,,,,,,,,
N17,,DIFFSLR,IO_L20N_1/A9,UNUSED,,1,,,,,,,,,
N18,,DIFFMLR,IO_L20P_1/A8,UNUSED,,1,,,,,,,,,
N19,,DIFFSLR,IO_L19N_1/A7,UNUSED,,1,,,,,,,,,
N20,,DIFFMLR,IO_L19P_1/A6,UNUSED,,1,,,,,,,,,
N21,,DIFFSLR,IO_L18N_1/A5,UNUSED,,1,,,,,,,,,
N22,,DIFFMLR,IO_L18P_1/A4,UNUSED,,1,,,,,,,,,
P1,,DIFFMLR,IO_L28P_3,UNUSED,,3,,,,,,,,,
P2,,DIFFSLR,IO_L28N_3,UNUSED,,3,,,,,,,,,
P3,,DIFFMLR,IO_L29P_3,UNUSED,,3,,,,,,,,,
P4,,,GND,,,,,,,,,,,,
P5,,DIFFSLR,IO_L29N_3,UNUSED,,3,,,,,,,,,
P6,,,VCCO_3,,,3,,,,,any******,,,,
P7,,DIFFMI_NDT,IP_L39P_3,UNUSED,,3,,,,,,,,,
P8,,DIFFSI_NDT,IP_L35N_3,UNUSED,,3,,,,,,,,,
P9,,,GND,,,,,,,,,,,,
P10,,,GND,,,,,,,,,,,,
P11,,,VCCAUX,,,,,,,,2.5,,,,
P12,,IBUF,IP_2,UNUSED,,2,,,,,,,,,
P13,,,VCCINT,,,,,,,,1.2,,,,
P14,,,GND,,,,,,,,,,,,
P15,,DIFFMI_NDT,IP_L08P_1,UNUSED,,1,,,,,,,,,
P16,,DIFFSI_NDT,IP_L08N_1,UNUSED,,1,,,,,,,,,
P17,,,VCCO_1,,,1,,,,,2.50,,,,
P18,,DIFFSLR,IO_L17N_1/A3,UNUSED,,1,,,,,,,,,
P19,,,GND,,,,,,,,,,,,
P20,,DIFFMLR,IO_L15P_1,UNUSED,,1,,,,,,,,,
P21,,,VCCO_1,,,1,,,,,2.50,,,,
P22,,DIFFSLR,IO_L15N_1/VREF_1,UNUSED,,1,,,,,,,,,
R1,,DIFFMLR,IO_L32P_3,UNUSED,,3,,,,,,,,,
R2,,DIFFSLR,IO_L32N_3,UNUSED,,3,,,,,,,,,
R3,,DIFFMLR,IO_L33P_3,UNUSED,,3,,,,,,,,,
R4,,DIFFSLR,IO_L33N_3,UNUSED,,3,,,,,,,,,
R5,,DIFFMLR,IO_L34P_3,UNUSED,,3,,,,,,,,,
R6,,DIFFSI_NDT,IP_3/VREF_3,UNUSED,,3,,,,,,,,,
R7,,DIFFMI_NDT,IP_L46P_3,UNUSED,,3,,,,,,,,,
R8,,DIFFSI_NDT,IP_L39N_3,UNUSED,,3,,,,,,,,,
R9,,IBUF,IP_2,UNUSED,,2,,,,,,,,,
R10,,IBUF,IP_2,UNUSED,,2,,,,,,,,,
R11,,IBUF,IP_2,UNUSED,,2,,,,,,,,,
